15	10	E	-9636362.400170617	200
emissionprobs	15	3	H3K27ac	1	0.00362801970943878
emissionprobs	15	4	H3K27me3	0	0.9977942488983413
emissionprobs	15	4	H3K27me3	1	0.002205751101658716
emissionprobs	15	5	H3K4me3	0	0.9891188728756174
emissionprobs	15	5	H3K4me3	1	0.010881127124382547
emissionprobs	15	6	H3K79me2	0	0.9947890306917564
emissionprobs	15	6	H3K79me2	1	0.00521096930824361
emissionprobs	15	7	H3K9ac	0	0.9963468839591384
emissionprobs	15	7	H3K9ac	1	0.003653116040861584
emissionprobs	15	8	H3K9me3	0	0.5491539633977314
emissionprobs	15	8	H3K9me3	1	0.45084603660226874
emissionprobs	15	9	H4K20me1	0	0.998900814037481
emissionprobs	15	9	H4K20me1	1	0.0010991859625190603
